CPU: [11th Gen Intel(R) Core(TM) i5-11400F @ 2.60GHz]
12 threads with OpenMP
Training data: (40000,3072) 468.8 MB
Validation data: (10000,3072) 117.2 MB
Testing data: (10000,3072) 117.2 MB

Network: cifar10cnn-student
Input, shape:[32,32,3], parameters: 0, memory:12.0 KB
Conv2D(ReLU), shape:[28,28,8] (k:5,s:1,pad:no), parameters:600, memory:29.2 KB
Maxpool2D shape:[14,14,8] (k:2,s:2), parameters:0, memory:6.1 KB
Conv2D(ReLU), shape:[12,12,16] (k:3,s:1,pad:no), parameters:1152, memory:18.0 KB
Maxpool2D shape:[6,6,16] (k:2,s:2), parameters:0, memory:2.2 KB
Conv2D(ReLU), shape:[4,4,32] (k:3,s:1,pad:no), parameters:4608, memory:38.0 KB
Maxpool2D shape:[2,2,32] (k:2,s:2), parameters:0, memory:512 bytes
Dense(ReLU), shape:[64], parameters:8256, memory:64.5 KB
Dense(Softmax), shape:[10], parameters:650, memory:5.1 KB

Training...
epoch: 101, time: 7.10 secs (speed 6068.3), loss (CCE): 24591.3984, validation accuracy: 0.6306
epoch: 102, time: 7.79 secs (speed 5500.9), loss (CCE): 24630.7422, validation accuracy: 0.6271
epoch: 103, time: 6.96 secs (speed 6204.4), loss (CCE): 24518.5703, validation accuracy: 0.6289
epoch: 104, time: 6.94 secs (speed 6221.7), loss (CCE): 24390.0430, validation accuracy: 0.6298
epoch: 105, time: 6.87 secs (speed 6252.4), loss (CCE): 24470.1191, validation accuracy: 0.6328
epoch: 106, time: 6.87 secs (speed 6275.1), loss (CCE): 24243.8184, validation accuracy: 0.6256
epoch: 107, time: 7.23 secs (speed 5960.4), loss (CCE): 24087.0254, validation accuracy: 0.6245
epoch: 108, time: 7.76 secs (speed 5523.3), loss (CCE): 24293.3906, validation accuracy: 0.6319
epoch: 109, time: 7.67 secs (speed 5539.6), loss (CCE): 24179.7949, validation accuracy: 0.6288
epoch: 110, time: 7.73 secs (speed 5520.0), loss (CCE): 24092.7773, validation accuracy: 0.6357
epoch: 111, time: 7.32 secs (speed 5822.3), loss (CCE): 23964.2676, validation accuracy: 0.6397
epoch: 112, time: 6.93 secs (speed 6248.5), loss (CCE): 23982.3574, validation accuracy: 0.6305
epoch: 113, time: 6.91 secs (speed 6204.9), loss (CCE): 23892.6465, validation accuracy: 0.6331
epoch: 114, time: 7.09 secs (speed 6045.3), loss (CCE): 23844.2891, validation accuracy: 0.6349
epoch: 115, time: 6.90 secs (speed 6224.7), loss (CCE): 23783.2539, validation accuracy: 0.6313
epoch: 116, time: 6.90 secs (speed 6241.6), loss (CCE): 23775.0371, validation accuracy: 0.6270
epoch: 117, time: 6.91 secs (speed 6239.4), loss (CCE): 23647.6660, validation accuracy: 0.6333
epoch: 118, time: 6.95 secs (speed 6204.1), loss (CCE): 23706.8750, validation accuracy: 0.6303
epoch: 119, time: 6.89 secs (speed 6264.2), loss (CCE): 23679.4609, validation accuracy: 0.6366
epoch: 120, time: 6.95 secs (speed 6201.9), loss (CCE): 23688.0605, validation accuracy: 0.6190
epoch: 121, time: 6.88 secs (speed 6258.4), loss (CCE): 23579.9609, validation accuracy: 0.6308
epoch: 122, time: 6.94 secs (speed 6207.5), loss (CCE): 23473.9180, validation accuracy: 0.6326
epoch: 123, time: 7.38 secs (speed 5801.4), loss (CCE): 23480.5820, validation accuracy: 0.6300
